date,total_stablecoin_supply,total_stablecoin_supply_change_7d,total_stablecoin_supply_change_30d,total_stablecoin_supply_change_90d,total_stablecoin_supply_pct_change_30d,total_stablecoin_supply_pct_change_90d,total_stablecoin_supply_zscore_252d,total_stablecoin_supply_slope_30d,total_stablecoin_supply_slope_90d,usdt_supply,usdc_supply,usdt_supply_change_30d,usdt_supply_change_90d,usdc_supply_change_30d,usdc_supply_change_90d,usdt_dominance,usdc_dominance,usdt_history_available,usdc_history_available,stablecoin_liquidity_score
2020-08-27,15711484829.0,503935192.0,3349570011.0,5205510560.0,0.27095883285999833,0.4954809926919306,2.1232934286211353,3349570011.0,5205510560.0,,,,,,,,,False,False,
2020-08-28,15888150674.0,563550144.0,3222157614.0,5384915495.0,0.2543943928230765,0.5126911283264906,2.149410294522766,3222157614.0,5384915495.0,,,,,,,,,False,False,
2020-08-29,15998429901.0,541546356.0,3163371339.0,5429215152.0,0.2464633350692771,0.5136819793082246,2.155399570938503,3163371339.0,5429215152.0,,,,,,,,,False,False,
2020-08-30,16210161464.0,647477570.0,3286386403.0,5672008974.0,0.2542899723562435,0.5382356138215267,2.190064197054157,3286386403.0,5672008974.0,,,,,,,,,False,False,
2020-08-31,16249877980.0,625437098.0,3274913690.0,5678917511.0,0.25240252048508727,0.537218687710902,2.1745866637673195,3274913690.0,5678917511.0,,,,,,,,,False,False,
2020-09-01,15503545349.0,-151864945.0,2353991444.0,4848388855.0,0.17901682908839334,0.45502746559660245,1.9370068893060541,2353991444.0,4848388855.0,,,,,,,,,False,False,
2020-09-02,15681224545.0,-3926167.0,2394967375.0,5002080293.0,0.1802589957695362,0.4683971088847503,1.9669599940199383,2394967375.0,5002080293.0,,,,,,,,,False,False,
2020-09-03,15958924698.0,247439869.0,2618306155.0,5237134299.0,0.19626572385385077,0.48845706771962805,2.0241476604294837,2618306155.0,5237134299.0,,,,,,,,,False,False,
2020-09-04,16043904271.0,155753597.0,2634805140.0,5321957023.0,0.19649382216204891,0.49636105269896036,2.0257276894105645,2634805140.0,5321957023.0,,,,,,,,,False,False,
2020-09-05,16219819219.0,221389318.0,2725663885.0,5474260001.0,0.20198847705068212,0.5094439377180118,2.052511777184197,2725663885.0,5474260001.0,,,,,,,,,False,False,
2020-09-06,16284167836.0,74006372.0,2701177873.0,5512852717.0,0.1988647477733545,0.5118086933763208,2.047551427104627,2701177873.0,5512852717.0,,,,,,,,,False,False,
2020-09-07,16338953018.0,89075038.0,2579673664.0,5532303874.0,0.1874861028423016,0.5119351799324041,2.0400434183554683,2579673664.0,5532303874.0,,,,,,,,,False,False,
2020-09-08,16662368965.0,1158823616.0,2754936094.0,5849195115.0,0.19809091437317927,0.5409323105445123,2.1063752097025326,2754936094.0,5849195115.0,,,,,,,,,False,False,
2020-09-09,16652549314.0,971324769.0,2661517359.0,5778362459.0,0.19023023945341277,0.5313834069664789,2.0796891189907356,2661517359.0,5778362459.0,,,,,,,,,False,False,
2020-09-10,16997307259.0,1038382561.0,2976367703.0,6108675159.0,0.21228018929204495,0.5610140101069261,2.1499688009090825,2976367703.0,6108675159.0,,,,,,,,,False,False,
2020-09-11,17095801532.0,1051897261.0,2918950883.0,6144335911.0,0.20589557972143102,0.56105147234521,2.1494168353196956,2918950883.0,6144335911.0,,,,,,,,,False,False,
2020-09-12,17190899648.0,971080429.0,2941382464.0,6233028041.0,0.2064197983706224,0.568817400362519,2.147738279674982,2941382464.0,6233028041.0,,,,,,,,,False,False,
2020-09-13,17264124875.0,979957039.0,2876165858.0,6299013229.0,0.19990089314277903,0.5744595615948733,2.140148591625446,2876165858.0,6299013229.0,,,,,,,,,False,False,
2020-09-14,17593658137.0,1254705119.0,2889523101.0,6617330236.0,0.1965109198144337,0.6028728638288154,2.2002368972859516,2889523101.0,6617330236.0,,,,,,,,,False,False,
2020-09-15,16734196413.0,71827448.0,2043276083.0,5705005344.0,0.13908428043323284,0.5172641681795855,1.9462351245816476,2043276083.0,5705005344.0,,,,,,,,,False,False,
2020-09-16,17880872965.0,1228323651.0,3118044620.0,6821520089.0,0.2112091631178552,0.6168100580101248,2.2237234597794013,3118044620.0,6821520089.0,,,,,,,,,False,False,
2020-09-17,18133590745.0,1136283486.0,3213134232.0,7021811968.0,0.2153509330763732,0.6319251047846883,2.2598493025717956,3213134232.0,7021811968.0,,,,,,,,,False,False,
2020-09-18,18362757153.0,1266955621.0,3177673485.0,7158146914.0,0.20926282360211235,0.6388572883226733,2.2883210726651164,3177673485.0,7158146914.0,,,,,,,,,False,False,
