date,walcl_billion,rrp_billion,tga_billion,usd_liquidity_proxy_no_tga,net_liquidity,net_liquidity_change_7d,net_liquidity_change_30d,net_liquidity_change_90d,net_liquidity_pct_change_30d,net_liquidity_pct_change_90d,net_liquidity_zscore_252d,net_liquidity_slope_30d,net_liquidity_slope_90d,tga_billion_change_7d,tga_billion_change_30d,tga_billion_change_90d,tga_billion_pct_change_30d,tga_billion_pct_change_90d,tga_billion_zscore_252d,tga_billion_slope_30d,tga_billion_slope_90d
2020-03-07,4241.507,2.93,375.464,4238.576999999999,3863.113,63.914000000000215,107.71299999999928,,0.02868216435000237,,,107.71299999999928,,18.213000000000022,-35.44,,-0.08624885618051903,,,-35.44,
2020-03-08,4241.507,2.93,375.464,4238.576999999999,3863.113,63.914000000000215,103.1639999999993,,0.027437606201573317,,,103.1639999999993,,18.213000000000022,-30.194000000000017,,-0.07443215713729301,,,-30.194000000000017,
2020-03-09,4241.507,2.504,390.574,4239.003,3848.4289999999996,96.11499999999978,88.47999999999911,,0.02353223408083438,,,88.47999999999911,,-13.22399999999999,-15.084000000000003,,-0.037184031869210044,,,-15.084000000000003,
2020-03-10,4241.507,0.151,395.134,4241.356,3846.2219999999998,74.80299999999988,86.27299999999923,,0.02294525803408476,,,86.27299999999923,,8.543000000000006,-10.524000000000001,,-0.025943035759186328,,,-10.524000000000001,
2020-03-11,4311.911,1.325,372.337,4310.586,3938.2490000000003,83.06900000000087,186.62300000000005,,0.04974456409034378,,,186.62300000000005,,-8.965000000000032,-41.91399999999999,,-0.1011802023410927,,,-41.91399999999999,
2020-03-12,4311.911,21.05,318.828,4290.861,3972.033,110.82700000000023,237.74499999999944,,0.06366541627212463,,,237.74499999999944,,-60.62300000000005,-113.363,,-0.262298381965381,,,-113.363,
2020-03-13,4311.911,15.1,325.866,4296.811,3970.945,107.83200000000033,192.90599999999995,,0.05105982230464012,,,192.90599999999995,,-49.59800000000001,-78.47500000000002,,-0.19408123341437056,,,-78.47500000000002,
2020-03-14,4311.911,15.1,325.866,4296.811,3970.945,107.83200000000033,214.17399999999952,,0.057010129177423874,,,214.17399999999952,,-49.59800000000001,-99.60200000000003,,-0.23409986179924236,,,-99.60200000000003,
2020-03-15,4311.911,15.1,325.866,4296.811,3970.945,107.83200000000033,215.58300000000008,,0.05740671605027692,,,215.58300000000008,,-49.59800000000001,-101.46100000000001,,-0.23743175600886446,,,-101.46100000000001,
2020-03-16,4311.911,1.425,417.801,4310.486,3892.685,44.25600000000031,137.32299999999987,,0.03656718047421248,,,137.32299999999987,,27.226999999999975,-9.52600000000001,,-0.022292062050841666,,,-9.52600000000001,
