date,btc_price,btc_market_cap,btc_volume,btc_return_7d,btc_return_30d,btc_return_90d,btc_return_180d,btc_forward_return_30d,btc_forward_return_90d,btc_forward_return_180d,stablecoin_to_btc_mcap,btc_to_stablecoin_ratio,stablecoin_supply_growth_30d,stablecoin_supply_growth_90d,net_liquidity_growth_30d,net_liquidity_growth_90d,liquidity_transmission_gap_30d,liquidity_transmission_gap_90d,stablecoin_btc_growth_gap_30d,stablecoin_btc_growth_gap_90d,net_liquidity_btc_growth_gap_30d,net_liquidity_btc_growth_gap_90d,stablecoin_to_btc_mcap_zscore_252d,btc_to_stablecoin_ratio_zscore_252d,liquidity_transmission_gap_30d_zscore_252d,liquidity_transmission_gap_90d_zscore_252d,transmission_phase
2025-12-20,88103.86075721023,1759398134896.644,51932451056.500565,-0.024398918996075825,-0.035675357619277315,-0.2386167016829165,-0.12640947365686517,0.06411574891410021,-0.206942228421088,,0.17554304327550252,5.696608543071513,0.019992255256968905,0.05711327163236812,0.01326910895682154,-0.011194378531933724,-0.006723146300147365,-0.06830765016430185,0.05566761287624622,0.2957299733152846,0.048944466576098855,0.22742232315098276,2.2177615631648,-2.009705339199198,1.0683986356340314,1.0656459107035081,neutral
2025-12-21,88347.94310567998,1762805314679.9844,17103607834.780054,-0.021156000098382255,0.019595742225377633,-0.2337856854284991,-0.16267099833422294,0.04765838445163295,-0.20142311388392975,,0.17573566452245362,5.69036457521251,0.024005603053940616,0.060895243932383325,0.009417376560450164,-0.010037850273555637,-0.014588226493490453,-0.07093309420593896,0.004409860828562984,0.2946809293608824,-0.010178365664927469,0.22374783515494345,2.19841560051535,-1.9934055496743395,0.8427454026284042,1.0232669038602533,neutral
2025-12-22,88577.42038358838,1768920028841.514,22541294542.323105,0.0039288592157338265,0.04145260152172425,-0.21401968163273266,-0.16417526173345798,-0.002986989798156925,-0.22402856736023968,,0.17451389367340248,5.730202787587045,0.021481264768530073,0.05340720203191718,0.003989608363338171,-0.0222604604448583,-0.017491656405191902,-0.07566766247677548,-0.01997133675319418,0.26742688366464984,-0.03746299315838608,0.19175922118787436,2.1116618923635273,-1.9343919876451032,0.7588865900088361,0.9462969043035374,neutral
2025-12-23,88491.12020788102,1767081210842.8062,41948947368.210236,0.024037807935166633,0.044973758764191185,-0.2100570497470059,-0.17481972350408337,0.009754917388461237,-0.23326910204289952,,0.17477065395806127,5.72178439201792,0.021469150178869523,0.051627555640177514,0.011628054875133742,-0.01627209812045638,-0.00984109530373578,-0.0678996537606339,-0.023504608585321662,0.2616846053871834,-0.03334570388905744,0.19378495162654952,2.098939616377174,-1.922307345790552,0.9746824167112724,1.064080329150146,neutral
2025-12-24,87406.43636737975,1745209464473.6252,46353794741.509995,-0.004730629545073972,0.007174015853305571,-0.22867986745194302,-0.18299534393952177,0.023304474575851053,-0.1889289715236453,,0.17682324693046247,5.6553649893854745,0.02143318363864788,0.04714934934222548,0.022528272333722565,-0.008081156466943629,0.0010950886950746863,-0.055230505809169106,0.014259167785342308,0.2758292167941685,0.015354256480416995,0.2205987109849994,2.1718458149445072,-1.964375022594862,1.2827213922387037,1.257234510847087,neutral
2025-12-25,87642.60888119951,1749379166231.2852,29100645180.040016,0.018331060101238972,-0.006650264075824475,-0.19567025066234744,-0.18151385466656844,0.020193255779624053,-0.19531706484199984,,0.17613836297411456,5.677354910735493,0.01624476201659153,0.045661086585468746,0.027335283913689334,0.00015691069512624445,0.011090521897097805,-0.0455041758903425,0.022895026092416004,0.2413313372478162,0.03398554798951381,0.1958271613574737,2.1129227261811003,-1.9235396804372358,1.5587423363532158,1.4018215226292094,crypto_liquidity_accumulating
2025-12-26,87229.78066010943,1741491085115.601,22773603342.32636,0.020824371704247557,-0.0009225819890879006,-0.20490734949265899,-0.18728694571835847,0.022252640904474985,-0.1825124000205961,,0.1769785445255616,5.650402441045991,0.01406683225780836,0.0426457127382327,0.013553433274506865,-0.00811865635258846,-0.000513398983301494,-0.05076436909082116,0.01498941424689626,0.24755306223089169,0.014476015263594766,0.19678869314007053,2.1274667255458444,-1.9288445215652577,1.2191581768046953,1.3113000188763106,neutral
2025-12-27,87305.95655961394,1743187621561.159,47130449135.786705,-0.009056404461038281,-0.03501848352678072,-0.2038109738021403,-0.1945693553074569,-0.00867792364657649,-0.2120685271796784,,0.17674602550703714,5.657835853062422,0.010482970677825776,0.04140988301577053,0.013553433274506865,-0.00811865635258846,0.0030704625966810895,-0.04952853936835899,0.045501454204606495,0.24522085681791084,0.048571916801287585,0.19569231744955184,2.091610619301998,-1.9026094742604223,1.3135752290977063,1.3232965096085596,neutral
2025-12-28,87807.003210775,1753375412209.345,15670944599.660688,-0.0061228351887934185,-0.038037829697638914,-0.2170056351442453,-0.18039102923968875,0.0057040780114829825,-0.24469559582209288,,0.1756629120896021,5.692721292755982,0.008933029908717582,0.0405444029231421,0.024739284188286526,-0.0033747492604629947,0.015806254279568943,-0.04391915218360509,0.046970859606356496,0.2575500380673874,0.06277711388592544,0.21363088588378232,2.017767118263822,-1.8522453173706486,1.6619108339521114,1.4026913198150193,neutral
2025-12-29,87822.90829076794,1753595375313.038,17428479525.19913,-0.008518108673214897,-0.03438653882378151,-0.23170710328219435,-0.16844918821271482,0.015728403130354174,-0.24483182474020615,,0.17561572463660585,5.6942509110118555,0.006986865232834871,0.03750296394743735,0.021980037374454975,0.007618948155410754,0.014993172141620104,-0.029884015792026597,0.04137340405661638,0.2692100672296317,0.056366576198236484,0.2393260514376051,1.9939398567686748,-1.8334590130280162,1.623668489166395,1.6087367720744794,crypto_liquidity_accumulating
2025-12-30,87156.56266080117,1739794323451.9631,53957962807.988785,-0.015081259497503718,-0.04056396960200437,-0.23563119597232074,-0.19910858928669461,0.023010709620956415,-0.2430813356892063,,0.17697536693537863,5.650503893941032,0.006694709402237375,0.03245320525414952,0.027443242287671588,-0.002664669525052399,0.020748532885434212,-0.03511787477920192,0.047258679004241744,0.26808440122647026,0.06800721188967596,0.23296652644726834,2.0349965583888316,-1.8558886104810517,1.7679909948108157,1.516881925421384,neutral
2025-12-31,88414.62856073362,1765833387995.6162,39734225800.079216,0.011534530353306094,-0.02203006059045165,-0.2539054190397425,-0.19331341289623605,-0.043479450877674575,-0.24560815947873493,,0.17423589457680128,5.739345514475555,0.006373279134881615,0.029584558532936622,0.010832157968970302,-0.016171784505489062,0.0044588788340886865,-0.045756343038425684,0.028403339725333265,0.28348997757267913,0.03286221855942195,0.23773363453425345,1.888830980621582,-1.7590377617089237,1.3017414517270394,1.346219689998635,neutral
2026-01-01,87520.18048742875,1747837206254.3643,37245075349.02766,-0.0013969049453641524,0.014356326195093416,-0.2743642066545795,-0.18993467273461384,-0.038601404829612385,-0.2203874569279114,,0.1755176346545598,5.69743320645884,0.0008264842460607991,0.021875132661913987,0.009057286535332887,-0.017626523416895634,0.008230802289272088,-0.03950165607880962,-0.013529841949032617,0.2962393393164935,-0.005299039659760529,0.25673768323768387,1.9286447557410833,-1.781317167682981,1.3970493699648612,1.4365189999342047,neutral
2026-01-02,88727.67004249741,1771365149347.3962,21163124465.205833,0.017171766007580525,-0.028650395377736948,-0.2742121896258195,-0.1800984510873167,-0.11272482979505094,-0.23260629576371772,,0.1730086301031191,5.780058482654684,-0.002054412863461086,0.015390230472912103,0.04071349736094665,0.01568303906054802,0.042767910224407735,0.00029280858763591766,0.026595982514275862,0.2896024200987316,0.0693638927386836,0.2898952286863675,1.796913362723377,-1.6924079418115727,2.3255134094152585,2.031131550754285,crypto_liquidity_accumulating
2026-01-03,89926.27924953419,1795890115524.7178,50705395175.73333,0.030013103265537744,-0.03944862687638462,-0.2651937353009025,-0.1766138675919684,-0.14444292915892132,-0.25614998055166505,,0.17108321061460355,5.8451089175119835,-0.0001501866274730146,0.016721583524221373,0.03516695839099748,0.01568303906054802,0.0353171450184705,-0.001038544463673352,0.039298440248911604,0.2819153188251239,0.0746155852673821,0.28087677436145053,1.6947623006089163,-1.6211477227196338,2.0955921147361516,1.9929729092798292,crypto_liquidity_accumulating
