date,btc_price,btc_market_cap,btc_volume,btc_return_7d,btc_return_30d,btc_return_90d,btc_return_180d,btc_forward_return_30d,btc_forward_return_90d,btc_forward_return_180d,stablecoin_to_btc_mcap,btc_to_stablecoin_ratio,stablecoin_supply_growth_30d,stablecoin_supply_growth_90d,net_liquidity_growth_30d,net_liquidity_growth_90d,liquidity_transmission_gap_30d,liquidity_transmission_gap_90d,stablecoin_btc_growth_gap_30d,stablecoin_btc_growth_gap_90d,net_liquidity_btc_growth_gap_30d,net_liquidity_btc_growth_gap_90d,stablecoin_to_btc_mcap_zscore_252d,btc_to_stablecoin_ratio_zscore_252d,liquidity_transmission_gap_30d_zscore_252d,liquidity_transmission_gap_90d_zscore_252d,transmission_phase
2021-02-07,,,,,,,,,,,,,0.28683452563803424,0.8478226279178414,0.00953713851709237,0.04557704583714872,-0.2772973871209419,-0.8022455820806926,,,,,,,-1.6540432650197712,-1.8959006775809975,neutral
2021-02-08,,,,,,,,,,,,,0.2994146083895468,0.9207812745141324,0.00859824562350675,0.03660973334758122,-0.29081636276604006,-0.8841715411665512,,,,,,,-1.8222743269404886,-2.475373376773004,neutral
2021-02-09,,,,,,,,,,,,,0.29477909864900687,0.9130215570063478,0.011376957572525326,0.036138748385492026,-0.28340214107648154,-0.8768828086208558,,,,,,,-1.7015554657939833,-2.383680447419229,neutral
2021-02-10,,,,,,,,,,,,,0.3414205273494577,0.962746457371151,0.02313187341277123,0.044363933031581704,-0.3182886539366865,-0.9183825243395694,,,,,,,-2.1534591918371615,-2.6424581205483944,neutral
2021-02-11,,,,,,,,,,,,,0.35738121257878186,0.9611554889912695,0.02351028420377843,0.044526126149182055,-0.33387092837500343,-0.9166293628420874,,,,,,,-2.3307741523907164,-2.5848077013896553,neutral
2021-02-12,,,,,,,,,,,,,0.34688324858680697,0.9699060424415324,0.021546716942571154,0.0453980374708598,-0.3253365316442358,-0.9245080049706726,,,,,,,-2.184402286319352,-2.596135387188278,neutral
2021-02-13,,,,,,,,,,,,,0.3801137185993364,1.0181024941907428,0.021387072357962778,0.0453980374708598,-0.3587266462413736,-0.972704456719883,,,,,,,-2.5861674826408203,-2.8787451800246093,neutral
2021-02-14,,,,,,,,,,,,,0.3877688516796274,1.0367559491833953,0.03140237952499625,0.051944273158951004,-0.35636647215463113,-0.9848116760244443,,,,,,,-2.5126316282102836,-2.9025271760984186,neutral
2021-02-15,,,,,,,,,,,,,0.38816651061581253,1.0311518303952578,0.03140237952499625,0.04795687852085684,-0.3567641310908163,-0.983194951874401,,,,,,,-2.4771291656625576,-2.834190404352833,neutral
2021-02-16,,,,,,,,,,,,,0.3891047466130999,1.0500044622730766,0.025226934751469976,0.026490097616718167,-0.36387781186162993,-1.0235143646563585,,,,,,,-2.527377683635711,-3.0397731019879353,neutral
2021-02-17,,,,,,,,,,,,,0.41056951274315345,1.0866668666287271,0.05004110943034035,0.04897283687392928,-0.3605284033128131,-1.0376940297547979,,,,,,,-2.447302193915367,-3.064834673782602,neutral
2021-02-18,,,,,,,,,,,,,0.39577689869914523,1.0783160221264119,0.05416905142561057,0.047308727631014014,-0.34160784727353466,-1.0310072944953979,,,,,,,-2.178380737298993,-2.9593307796415913,neutral
2021-02-19,,,,,,,,,,,,,0.40887688081220586,1.0699917297684394,0.03902140418594202,0.04913522761746303,-0.36985547662626383,-1.0208565021509763,,,,,,,-2.492924266959752,-2.8373903624624455,neutral
2021-02-20,,,,,,,,,,,,,0.44424575549593626,1.1247207668783639,0.039163922907689885,0.04913522761746303,-0.40508183258824637,-1.0755855392609008,,,,,,,-2.8727541432061354,-3.110451241593282,neutral
2021-02-21,,,,,,,,,,,,,0.458650185458642,1.1392566217889257,0.03830742011803179,0.04924218578409345,-0.4203427653406102,-1.0900144360048323,,,,,,,-2.994828556091043,-3.1245322102894453,neutral
2021-02-22,,,,,,,,,,,,,0.4506217228557512,1.1286389805958041,0.03935175891918985,0.04734187898561215,-0.41126996393656134,-1.081297101610192,,,,,,,-2.828750997379922,-3.004455269164568,neutral
2021-02-23,,,,,,,,,,,,,0.45584237722281196,1.1227168853873777,0.051496199195123715,0.059994829430518815,-0.40434617802768824,-1.0627220559568589,,,,,,,-2.6965923519784645,-2.8430813496799376,neutral
2021-02-24,,,,,,,,,,,,,0.4517139470368803,1.123731358723501,0.06568896358737542,0.07292177647090847,-0.38602498344950487,-1.0508095822525925,,,,,,,-2.4423476452038324,-2.7319960761117823,neutral
2021-02-25,,,,,,,,,,,,,0.46548765356317245,1.1408837725637517,0.07241096125453361,0.08418400044625174,-0.39307669230863884,-1.0566997721175,,,,,,,-2.4831018628720263,-2.7238546494023654,neutral
2021-02-26,,,,,,,,,,,,,0.4520444938251649,1.1499347529152142,0.06459816140413155,0.07793647804317994,-0.3874463324210333,-1.0719982748720343,,,,,,,-2.3805084124090516,-2.7661441907633844,neutral
2021-02-27,,,,,,,,,,,,,0.4339402766225777,1.1527468030853956,0.061317101842914834,0.07793647804317994,-0.3726231747796629,-1.0748103250422156,,,,,,,-2.1812226251029982,-2.740962541360499,neutral
2021-02-28,,,,,,,,,,,,,0.40669646751596433,1.1566509134331673,0.06531991675759707,0.1020754849210368,-0.34137655075836726,-1.0545754285121305,,,,,,,-1.808758397054393,-2.593048024708471,neutral
2021-03-01,,,,,,,,,,,,,0.4099467584424621,1.1564113742147155,0.0523548537503149,0.0765225351268588,-0.3575919046921472,-1.0798888390878567,,,,,,,-1.9661462281052848,-2.6909080383965605,neutral
2021-03-02,,,,,,,,,,,,,0.41961764510461963,1.1571451325865718,0.05894332196083485,0.08161691061916199,-0.3606743231437848,-1.0755282219674098,,,,,,,-1.9758902922156891,-2.6432059923069686,neutral
2021-03-03,,,,,,,,,,,,,0.44301566897140754,1.211279658061593,0.06906603432074676,0.08035169645266782,-0.3739496346506608,-1.1309279616089252,,,,,,,-2.0945924291125797,-2.901645897037495,neutral
2021-03-04,,,,,,,,,,,,,0.4400433833543316,1.1982140637760286,0.07359570337092403,0.08666115928553797,-0.36644767998340755,-1.1115529044904906,,,,,,,-1.9877370069970552,-2.7643471836842286,neutral
2021-03-05,,,,,,,,,,,,,0.5053521819916285,1.1849064098422533,0.07050506591686023,0.08931709471504412,-0.4348471160747682,-1.0955893151272091,,,,,,,-2.680755739870743,-2.651552273816365,neutral
2021-03-06,,,,,,,,,,,,,0.41346360617455846,1.1984506813076092,0.06894363320254238,0.08931709471504412,-0.3445199729720161,-1.1091335865925651,,,,,,,-1.6944266067212967,-2.691664458553189,neutral
2021-03-07,,,,,,,,,,,,,0.40017804148522096,1.2039912391302239,0.06756149693873859,0.08950024877172291,-0.3326165445464824,-1.114490990358501,,,,,,,-1.5524076401904296,-2.688046998298302,neutral
2021-03-08,,,,,,,,,,,,,0.3584838583432295,1.2069508967024292,0.06674878334480572,0.08591890135749813,-0.29173507499842377,-1.121031995344931,,,,,,,-1.1089437738138186,-2.6860570656338707,neutral
2021-03-09,,,,,,,,,,,,,0.34779739610977134,1.2005167132338488,0.07102747630951112,0.08153868077140292,-0.2767699198002602,-1.1189780324624459,,,,,,,-0.942820326378547,-2.660794561288123,neutral
2021-03-10,,,,,,,,,,,,,0.33104612055575244,1.2530454977365104,0.08258837184927081,0.08968069430573755,-0.24845774870648163,-1.1633648034307729,,,,,,,-0.637786291759928,-2.8580224634537332,neutral
2021-03-11,,,,,,,,,,,,,0.33904497277564816,1.260883373497681,0.08497081378717497,0.0955482456826715,-0.2540741589884732,-1.1653351278150095,,,,,,,-0.6919937133317814,-2.8110934345750174,neutral
2021-03-12,,,,,,,,,,,,,0.2953685340453258,1.260182586064559,0.07461297717953541,0.09598050886035181,-0.2207555568657904,-1.1642020772042072,,,,,,,-0.33545197304041796,-2.7519456699037708,neutral
2021-03-13,,,,,,,,,,,,,0.29484989178219023,1.263799797996855,0.07246018762160222,0.09598050886035181,-0.222389704160588,-1.1678192891365031,,,,,,,-0.34906198211644573,-2.717491317369228,neutral
2021-03-14,,,,,,,,,,,,,0.28825332484157573,1.2605426919127343,0.07156570518896022,0.09908831316662425,-0.21668761965261552,-1.16145437874611,,,,,,,-0.2851765345406913,-2.6386848089785904,neutral
2021-03-15,,,,,,,,,,,,,0.2794132945608041,1.2982044396113106,0.054161217280519924,0.1029344487520909,-0.22525207728028418,-1.1952699908592197,,,,,,,-0.37240420625116444,-2.744928995031381,neutral
2021-03-16,,,,,,,,,,,,,0.28229227970704485,1.3039048457484856,0.057081742577260286,0.0820005523176548,-0.22521053712978456,-1.2219042934308308,,,,,,,-0.36814348223471743,-2.8114538942778293,neutral
2021-03-17,,,,,,,,,,,,,0.2796843158425777,1.2947005570363692,0.12271748427151175,0.14661265113520483,-0.15696683157106595,-1.1480879059011644,,,,,,,0.357988830535625,-2.433109566169216,neutral
2021-03-18,,,,,,,,,,,,,0.27633243430117016,1.3018439598485156,0.1294189338632059,0.14713645260878083,-0.14691350043796425,-1.1547075072397348,,,,,,,0.4652749252560904,-2.4235496486273984,neutral
2021-03-19,,,,,,,,,,,,,0.25969950506097383,1.2903398859698552,0.10473913238781463,0.14922760445510197,-0.1549603726731592,-1.1411122815147532,,,,,,,0.3800502387241296,-2.3268283713827627,neutral
2021-03-20,,,,,,,,,,,,,0.26010248456125185,1.28756794846855,0.10451024258310104,0.14922760445510197,-0.1555922419781508,-1.138340344013448,,,,,,,0.37426853054588427,-2.280419807197777,neutral
2021-03-21,,,,,,,,,,,,,0.2668283453703868,1.3318681433458086,0.10258733704146539,0.1499803228580947,-0.1642410083289214,-1.181887820487714,,,,,,,0.28335387334467,-2.4315951651626606,neutral
2021-03-22,,,,,,,,,,,,,0.23462656564858841,1.3267157297705139,0.10272216709393422,0.14895459189804394,-0.1319043985546542,-1.17776113787247,,,,,,,0.6272132337772897,-2.376017382181912,neutral
2021-03-23,,,,,,,,,,,,,0.22962076279306065,1.3414783671548998,0.09542734460128144,0.12935847064730277,-0.1341934181917792,-1.212119896507597,,,,,,,0.6029372588744619,-2.481700765272129,neutral
2021-03-24,,,,,,,,,,,,,0.22756832935880245,1.3197549785382514,0.10982536157335265,0.143823274491524,-0.11774296778544979,-1.1759317040467274,,,,,,,0.77684815836535,-2.2941869997438777,neutral
2021-03-25,,,,,,,,,,,,,0.22084262304854874,1.296094849137217,0.10518334904723403,0.1523483100160803,-0.1156592740013147,-1.1437465391211368,,,,,,,0.7968056193756077,-2.130414595275548,neutral
2021-03-26,,,,,,,,,,,,,0.22412708676774984,1.301100794824381,0.0884237351848578,0.14871357435292643,-0.13570335158289204,-1.1523872204714545,,,,,,,0.5835639977172246,-2.137235250071304,neutral
2021-03-27,,,,,,,,,,,,,0.24050631745319317,1.3466085314646499,0.0796972794634474,0.14871357435292643,-0.16080903798974577,-1.1978949571117234,,,,,,,0.3184606894370352,-2.290237919861296,neutral
2021-03-28,,,,,,,,,,,,,0.2408357994024073,1.3530287335643822,0.08595500714906112,0.1559100711281618,-0.15488079225334617,-1.1971186624362204,,,,,,,0.382960338560469,-2.2540837377106278,neutral
2021-03-29,,,,,,,,,,,,,0.23543583400275803,1.338621493881495,0.0804304231069588,0.14888337468982615,-0.15500541089579922,-1.189738119191669,,,,,,,0.38318386134763444,-2.193416474297405,neutral
2021-03-30,,,,,,,,,,,,,0.22897889556780693,1.3275824252622632,0.07250205452363456,0.14996838682352376,-0.15647684104417237,-1.1776140384387395,,,,,,,0.369749143846455,-2.1168271360247672,neutral
2021-03-31,,,,,,,,,,,,,0.21229036676888846,1.3219980040025887,0.056377417634245974,0.14356981197415686,-0.1559129491346425,-1.1784281920284319,,,,,,,0.37806231372197463,-2.0923902316807057,neutral
2021-04-01,,,,,,,,,,,,,0.2232850623949192,1.332780106330632,0.08258588916806531,0.1792786692434365,-0.14069917322685388,-1.1535014370871954,,,,,,,0.5410872221611522,-1.9701722686100975,neutral
2021-04-02,,,,,,,,,,,,,0.19295355559334304,1.266816955641512,0.08519615909257938,0.1839029171053974,-0.10775739650076366,-1.0829140385361147,,,,,,,0.890147129821634,-1.6775985124226531,neutral
2021-04-03,,,,,,,,,,,,,0.24203041735082964,1.2806431515153816,0.07879872435090496,0.1839029171053974,-0.16323169299992468,-1.0967402344099841,,,,,,,0.29940437748189075,-1.7130816048930873,neutral
2021-04-04,,,,,,,,,,,,,0.24571749888598826,1.2715307061613377,0.07616843444981858,0.14821062591670442,-0.16954906443616968,-1.1233200802446333,,,,,,,0.2329445856302337,-1.7956351496717768,neutral
2021-04-05,,,,,,,,,,,,,0.24239630106223609,1.2834897696687957,0.07774739227947647,0.15725785251624624,-0.16464890878275962,-1.1262319171525494,,,,,,,0.28566115032598793,-1.7870146834628886,neutral
2021-04-06,,,,,,,,,,,,,0.26020121431336185,1.2790489860936631,0.07876399484895513,0.16556561614510157,-0.18143721946440672,-1.1134833699485616,,,,,,,0.1084705653743148,-1.7201059961098608,neutral
2021-04-07,,,,,,,,,,,,,0.26225186384834065,1.2124907132732599,0.08657343648015647,0.16686667643849007,-0.17567842736818418,-1.0456240368347698,,,,,,,0.17036427170265933,-1.4495332562393528,neutral
2021-04-08,,,,,,,,,,,,,0.27857360114074514,1.217548110197027,0.08827015229489299,0.1766834109242128,-0.19030344884585215,-1.040864699272814,,,,,,,0.01528276469145834,-1.4187298527074577,neutral
2021-04-09,,,,,,,,,,,,,0.2575171096715687,1.174977415223137,0.07722431417484699,0.17621770890279786,-0.18029279549672173,-0.9987597063203391,,,,,,,0.12270903684242115,-1.2495190002631993,neutral
2021-04-10,,,,,,,,,,,,,0.25226533492977987,1.171136867574691,0.07190575681566114,0.17621770890279786,-0.18035957811411873,-0.9949191586718931,,,,,,,0.12252677048678567,-1.224893532871309,neutral
2021-04-11,,,,,,,,,,,,,0.25294983697665896,1.1771681644178784,0.07148298890613258,0.17806424671486454,-0.18146684807052638,-0.9991039177030139,,,,,,,0.11066082520385179,-1.2303872171813637,neutral
2021-04-12,,,,,,,,,,,,,0.2621798522781382,1.2184135135113432,0.07028485249055971,0.17482388881158673,-0.1918949997875785,-1.0435896246997565,,,,,,,-0.00046199458260389955,-1.384768850874215,neutral
2021-04-13,,,,,,,,,,,,,0.26124036213182533,1.1884119827937436,0.07035132748501471,0.1716648202799087,-0.19088903464681062,-1.016747162513835,,,,,,,0.010874384441808728,-1.2737361184985547,neutral
2021-04-14,,,,,,,,,,,,,0.2814010502189299,1.262615759249245,0.09995845661151104,0.184332573420388,-0.18144259360741888,-1.078283185828857,,,,,,,0.11176126788514892,-1.489149393428943,neutral
2021-04-15,,,,,,,,,,,,,0.27361366434006085,1.2664277184118364,0.08623857637395105,0.18430052860993662,-0.1873750879661098,-1.0821271898018998,,,,,,,0.04839961695397217,-1.4895420587295722,neutral
2021-04-16,,,,,,,,,,,,,0.28359070410392406,1.2801896669212902,0.020242110658607926,0.18141331223125223,-0.26334859344531614,-1.098776354690038,,,,,,,-0.7586340809939809,-1.5365332277033967,neutral
2021-04-17,,,,,,,,,,,,,0.3152882188249684,1.331952667495675,0.02029742050112593,0.18141331223125223,-0.29499079832384245,-1.1505393552644227,,,,,,,-1.0890040168392197,-1.7096698389500522,neutral
2021-04-18,,,,,,,,,,,,,0.3171725057629218,1.340475549769899,0.018440871958081306,0.18141331223125223,-0.29873163380484047,-1.1590622375386468,,,,,,,-1.121526494649585,-1.7228766313962645,neutral
2021-04-19,,,,,,,,,,,,,0.3630017777156751,1.3972774281029894,0.013739922623280831,0.18033846329301606,-0.34926185509239427,-1.2169389648099733,,,,,,,-1.6427197130987068,-1.9120897796892427,neutral
2021-04-20,,,,,,,,,,,,,0.34227168009516196,1.39569343115821,0.013799024590801956,0.1614201691658852,-0.32847265550436,-1.234273261992325,,,,,,,-1.4117553360809625,-1.9515480816826247,neutral
2021-04-21,,,,,,,,,,,,,0.35075711280374056,1.4085406500345292,0.01808843172834429,0.1666367914308473,-0.33266868107539627,-1.241903858603682,,,,,,,-1.444155619844663,-1.9554810464390395,neutral
2021-04-22,,,,,,,,,,,,,0.35151072850365184,1.4240514698144868,0.025709736176355413,0.1666323456732015,-0.3258009923272964,-1.2574191241412853,,,,,,,-1.362252012845504,-1.9867736980764075,neutral
2021-04-23,,,,,,,,,,,,,0.35212140947371107,1.4077730075040775,0.01601020250796159,0.17196669329283587,-0.3361112069657495,-1.2358063142112417,,,,,,,-1.4581746951773886,-1.8878464760537796,neutral
2021-04-24,,,,,,,,,,,,,0.35301120500465544,1.4047804543920948,0.008493791892866254,0.17196669329283587,-0.3445174131117892,-1.2328137610992589,,,,,,,-1.532985080697015,-1.855962011840332,neutral
2021-04-25,,,,,,,,,,,,,0.3528635576365904,1.4041499702651876,0.011684847029066914,0.1734746636402229,-0.34117871060752347,-1.2306753066249647,,,,,,,-1.4865018457658115,-1.8279043733853573,neutral
2021-04-26,,,,,,,,,,,,,0.32943831106393473,1.416847980341572,0.006500295549459745,0.16540575432653815,-0.322938015514475,-1.251442226015034,,,,,,,-1.2902453329456478,-1.878880296002123,neutral
2021-04-27,,,,,,,,,,,,,0.3318919966891303,1.3997347937961613,0.0038232463355825086,0.16052578087478286,-0.32806875035354777,-1.2392090129213784,,,,,,,-1.3342231499595116,-1.815839313594881,neutral
2021-04-28,,,,,,,,,,,,,0.33275824711825486,1.3610361464880198,0.0032563317770866185,0.15041325358995006,-0.32950191534116824,-1.2106228928980698,,,,,,,-1.340044428717978,-1.6990022707644092,neutral
2021-04-29,,,,,,,,,,,,,0.3440542471558057,1.323601346784701,0.01408132431030662,0.1586465263647603,-0.32997292284549906,-1.1649548204199407,,,,,,,-1.3365319435112466,-1.527070440729867,neutral
2021-04-30,,,,,,,,,,,,,0.33115850991967544,1.2753024812899945,0.03020210703698112,0.14525909906447332,-0.3009564028826943,-1.1300433822255211,,,,,,,-1.037538190993946,-1.394811757374153,neutral
2021-05-01,,,,,,,,,,,,,0.32927965565158956,1.3084231413490883,-0.0009926741102905812,0.14525909906447332,-0.33027232976188015,-1.163164042284615,,,,,,,-1.326548068312617,-1.4941498243157612,neutral
2021-05-02,,,,,,,,,,,,,0.3350573801829926,1.2982354257115571,-0.004894731807828512,0.1544677489992714,-0.3399521119908211,-1.1437676767122857,,,,,,,-1.414504656608113,-1.4153124040369887,neutral
2021-05-03,,,,,,,,,,,,,0.30366846624038035,1.3317123266137778,0.0034485508083133,0.1621877650001844,-0.30021991543206705,-1.1695245616135934,,,,,,,-1.0091831522555859,-1.4888982882781112,neutral
2021-05-04,,,,,,,,,,,,,0.2973468425788719,1.432841305266511,0.004157451285803804,0.15683332667323024,-0.2931893912930681,-1.2760079785932807,,,,,,,-0.9340608391995965,-1.8285782781406184,neutral
2021-05-05,,,,,,,,,,,,,0.3272614811562127,1.3307799379487557,0.004823836698463646,0.15760852009842563,-0.32243764445774903,-1.17317141785033,,,,,,,-1.2195532520229502,-1.4690109096117687,neutral
2021-05-06,,,,,,,,,,,,,0.31169114654342356,1.3144869875942762,0.010578262469794986,0.16382932842013376,-0.3011128840736286,-1.1506576591741424,,,,,,,-1.0014678105965937,-1.3812985635287607,neutral
2021-05-07,,,,,,,,,,,,,0.31884550262525435,1.2614887195387468,0.003395655733642533,0.1630367989676762,-0.3154498468916118,-1.0984519205710706,,,,,,,-1.1376606901468722,-1.19707142209837,neutral
2021-05-08,,,,,,,,,,,,,0.30587314932803444,1.2503565740230802,-0.002170990837968567,0.1630367989676762,-0.308044140166003,-1.087319775055404,,,,,,,-1.0576597592961061,-1.1507446985695002,neutral
2021-05-09,,,,,,,,,,,,,0.30456560712465586,1.1835992252615744,-0.0017759185795965804,0.16411945699357267,-0.30634152570425244,-1.0194797682680017,,,,,,,-1.0351167501167555,-0.9182266099906087,neutral
2021-05-10,,,,,,,,,,,,,0.31688924051554457,1.208212029047281,-0.0044548993083481925,0.1578054736934913,-0.32134413982389276,-1.0504065553537898,,,,,,,-1.177402993933434,-1.0134742467470015,neutral
2021-05-11,,,,,,,,,,,,,0.33218083952696387,1.1621718573194313,-0.0015893538463722656,0.1495994957617286,-0.33377019337333613,-1.0125723615577027,,,,,,,-1.289493878276908,-0.881042378115706,neutral
2021-05-12,,,,,,,,,,,,,0.32914871051396477,1.1722721911470542,0.0016330829974373628,0.14971240825861742,-0.3275156275165274,-1.0225597828884367,,,,,,,-1.2178737297620748,-0.9070988303856069,neutral
2021-05-13,,,,,,,,,,,,,0.3318947890432873,1.1640587773447386,0.0017844662942789746,0.1489984718201356,-0.3301103227490083,-1.015060305524603,,,,,,,-1.233611895337493,-0.8754690179294208,neutral
2021-05-14,,,,,,,,,,,,,0.2838316193321113,1.1047668862181759,-0.010873442558920976,0.1469254241765907,-0.2947050618910323,-0.9578414620415852,,,,,,,-0.8800463521019465,-0.6804204005342321,neutral
2021-05-15,,,,,,,,,,,,,0.28284820559961,1.095077093110206,-0.0011474426833874007,0.1469254241765907,-0.2839956482829974,-0.9481516689336154,,,,,,,-0.7700855579431796,-0.6431796333151949,neutral
2021-05-16,,,,,,,,,,,,,0.2737689667820269,1.0922813033523857,0.001293619587976913,0.1469254241765907,-0.27247534719405,-0.945355879175795,,,,,,,-0.6530435458877164,-0.6288376449909159,neutral
2021-05-17,,,,,,,,,,,,,0.23867224441492696,1.0794148544658086,-0.008294096309651944,0.14278557919678336,-0.2469663407245789,-0.9366292752690253,,,,,,,-0.40020618244026784,-0.5949881152985094,neutral
2021-05-18,,,,,,,,,,,,,0.2482279252026156,1.0711116418469553,-0.0069020749563204475,0.11734588146967351,-0.25513000015893605,-0.9537657603772818,,,,,,,-0.4766152080332488,-0.6468062377345093,neutral
2021-05-19,,,,,,,,,,,,,0.20191374119655814,1.0643132043399621,0.009165321719671216,0.1299484114396381,-0.19274841947688692,-0.934364792900324,,,,,,,0.13507932756522706,-0.5777217804890219,neutral
2021-05-20,,,,,,,,,,,,,0.18886198329027515,1.0215739804604498,0.004743270997729754,0.12310400446922465,-0.1841187122925454,-0.8984699759912251,,,,,,,0.21946422732141557,-0.45483838558369966,neutral
2021-05-21,,,,,,,,,,,,,0.19125040219417166,0.9866252035959111,0.0001085185422706747,0.12279051209753877,-0.191141883651901,-0.8638346914983723,,,,,,,0.1509466501853488,-0.33661047350826107,neutral
2021-05-22,,,,,,,,,,,,,0.21238092204850934,1.0147899649720773,-0.0007119858516546618,0.12279051209753877,-0.213092907900164,-0.8919994528745385,,,,,,,-0.0628105854446137,-0.4263146991217293,neutral
2021-05-23,,,,,,,,,,,,,0.21756739129299807,1.0209444360181799,-0.005260365656394872,0.12166233418539996,-0.22282775694939294,-0.8992821018327799,,,,,,,-0.1564301498768191,-0.44661764561024353,neutral
2021-05-24,,,,,,,,,,,,,0.22941406815161036,1.0307630604114397,-0.010204749094614995,0.10319663364306364,-0.23961881724622536,-0.9275664267683761,,,,,,,-0.3184259349631035,-0.5364705237825085,neutral
2021-05-25,,,,,,,,,,,,,0.23087905210811432,1.0384303964054897,-0.012214484595350239,0.08769192047949548,-0.24309353670346456,-0.9507384759259943,,,,,,,-0.3486326781251211,-0.6082776407810275,neutral
2021-05-26,,,,,,,,,,,,,0.2318186393558097,1.0314865044653603,-0.009421436528637028,0.07647720854285689,-0.24124007588444674,-0.9550092959225034,,,,,,,-0.32867340480083496,-0.617982436698074,neutral
2021-05-27,,,,,,,,,,,,,0.23775435072363393,1.045586202237768,-0.007093255038575719,0.0823744745269892,-0.24484760576220965,-0.9632117277107788,,,,,,,-0.3622036859201785,-0.6407072450348111,neutral
2021-05-28,,,,,,,,,,,,,0.2471536453191645,1.0534849915495315,-0.005178134563554315,0.07833583098951657,-0.2523317798827188,-0.9751491605600149,,,,,,,-0.43359925202992544,-0.6756346764702307,neutral
2021-05-29,,,,,,,,,,,,,0.24519287612229057,1.0568274043324375,-0.008521916247618333,0.07833583098951657,-0.2537147923699089,-0.9784915733429209,,,,,,,-0.44548878162592326,-0.6820480801149648,neutral
2021-05-30,,,,,,,,,,,,,0.2509901486245525,1.0187861507473652,0.0030678984737013693,0.09162098090065673,-0.24792225015085112,-0.9271651698467085,,,,,,,-0.3879370751216252,-0.50871012645041,neutral
2021-05-31,,,,,,,,,,,,,0.20778150532274853,0.9639589478158401,0.0030678984737013693,0.08482920084836554,-0.20471360684904716,-0.8791297469674746,,,,,,,0.0339553119285595,-0.3471492062298182,neutral
2021-06-01,,,,,,,,,,,,,0.2387934872752977,0.9729786299730474,0.0016229033537287219,0.08163696297357292,-0.23717058392156898,-0.8913416669994745,,,,,,,-0.2826311405260221,-0.38495220417473625,neutral
2021-06-02,,,,,,,,,,,,,0.2243022400870447,0.9823851543015643,0.0003386419157285214,0.08288560287735414,-0.22396359817131617,-0.8994995514242101,,,,,,,-0.15269283651811366,-0.4090156029441471,neutral
2021-06-03,,,,,,,,,,,,,0.22699274475237252,0.9829769182295587,0.002864087368048107,0.08373760697475663,-0.22412865738432441,-0.899239311254802,,,,,,,-0.15353848262661474,-0.40529736180304043,neutral
2021-06-04,,,,,,,,,,,,,0.19846975002206269,0.9762583467924904,0.0015206925201805,0.08459309799412096,-0.19694905750188219,-0.8916652487983694,,,,,,,0.11173030911719958,-0.3775516811024979,neutral
2021-06-05,,,,,,,,,,,,,0.19362807698435858,0.9730609753578514,-0.005120593725023159,0.08459309799412096,-0.19874867070938174,-0.8884678773637305,,,,,,,0.09367878902491425,-0.3642892066699609,neutral
2021-06-06,,,,,,,,,,,,,0.18937361471713676,0.9799683275443416,-0.004442651950681831,0.08541940646373236,-0.1938162666678186,-0.8945489210806092,,,,,,,0.1417025711148601,-0.3817101636807504,neutral
2021-06-07,,,,,,,,,,,,,0.19307429129558873,0.9920223784853555,-0.004402157677284024,0.08112719160485482,-0.19747644897287275,-0.9108951868805006,,,,,,,0.1060499428658504,-0.43274370918044813,neutral
2021-06-08,,,,,,,,,,,,,0.1849548595291941,0.9439345288482863,-0.0047370883341782966,0.07021740711581503,-0.1896919478633724,-0.8737171217324713,,,,,,,0.1829408911709344,-0.307185820302161,neutral
2021-06-09,,,,,,,,,,,,,0.17093415027517422,0.930981354942972,0.007773661762499051,0.07542603635569511,-0.16316048851267517,-0.8555553185872768,,,,,,,0.4415468557376458,-0.2450480154386292,neutral
2021-06-10,,,,,,,,,,,,,0.15820803410154305,0.9332296180107733,0.006136034740856777,0.07634423068441332,-0.15207199936068627,-0.85688538732636,,,,,,,0.5463589669280843,-0.24721085530689896,neutral
2021-06-11,,,,,,,,,,,,,0.1406164001382011,0.9135262724362645,0.007446183326024869,0.08001526862402475,-0.13317021681217622,-0.8335110038122397,,,,,,,0.7264754310532617,-0.1679935579893458,neutral
2021-06-12,,,,,,,,,,,,,0.13815929764453316,0.9119249068400972,0.007231385699451698,0.08001526862402475,-0.13092791194508147,-0.8319096382160724,,,,,,,0.7440075302159757,-0.1607701906699873,neutral
2021-06-13,,,,,,,,,,,,,0.14110964085202427,0.8772431049609608,0.009051938811810878,0.09784661393967764,-0.1320577020402134,-0.7793964910212832,,,,,,,0.7288039966539123,0.014193823906627412,neutral
2021-06-14,,,,,,,,,,,,,0.13778615568009678,0.8589753282831039,-2.119648997955803e-05,0.08496918184120905,-0.13780735217007634,-0.7740061464418948,,,,,,,0.6694073981911001,0.033162958589130064,neutral
2021-06-15,,,,,,,,,,,,,0.13559720021194233,0.8566991567591022,-0.010280001185817511,0.011060258131240008,-0.14587720139775984,-0.8456388986278622,,,,,,,0.5882432892192662,-0.20162408025939887,neutral
2021-06-16,,,,,,,,,,,,,0.1360045560318599,0.8507911301704667,0.014427247982991442,0.026432969539407436,-0.12157730804886846,-0.8243581606310593,,,,,,,0.820589161385437,-0.12906008289603352,neutral
2021-06-17,,,,,,,,,,,,,0.1173826570764176,0.8371240285252286,-0.016584369274178834,-0.005362105360216085,-0.13396702635059643,-0.8424861338854447,,,,,,,0.6977128024042033,-0.18669647267733658,neutral
